PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jarrett CulverJ. CulverF,2:44,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-8
Tristan Da SilvaT. Da SilvaF,2:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-8
Jay HuffJ. HuffC,4:30,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1
Jett HowardJ. HowardG,2:44,1,3,33.3,0,2,0.0,0,1,0.0,0,0,0,0,0,0,1,1,2,-8
Anthony BlackA. BlackG,0:34,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2
Xavier MoonX. Moon,9:26,1,1,100,1,1,100,0,0,0.0,0,2,2,1,1,0,0,0,3,-1
Charlie Brown Jr.C. Brown Jr.,7:16,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,1,0,1,2,1,2,5
Kaiser GatesK. Gates,7:16,1,2,50.0,1,2,50.0,2,2,100,0,1,1,0,1,0,0,0,5,5
Jared RhodenJ. Rhoden,7:16,1,4,25.0,0,2,0.0,1,2,50.0,0,2,2,1,0,0,2,2,3,5
Isaiah ToddI. Todd,5:30,1,1,100,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,3,2,-2
TOTALS,,7,17,41.2,2,9,22.2,3,5,60.0,1,8,9,5,3,1,6,8,19,-3
