PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Justin ChampagnieJ. ChampagnieF,7:51,1,2,50.0,0,1,0.0,1,2,50.0,0,0,0,2,0,1,0,1,3,10
Eugene OmoruyiE. OmoruyiF,4:00,1,2,50.0,1,1,100,3,4,75.0,1,0,1,0,1,0,0,0,6,-4
Alexandre SarrA. SarrC,10:00,2,4,50.0,1,1,100,0,0,0.0,0,2,2,0,0,0,1,1,5,5
Johnny DavisJ. DavisG,6:40,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,3,5,6
Carlton CarringtonC. CarringtonG,10:00,1,2,50.0,1,2,50.0,1,2,50.0,0,2,2,3,1,0,2,2,4,5
Kyshawn GeorgeK. George,6:19,2,2,100,1,1,100,0,0,0.0,0,1,1,2,0,0,1,2,5,10
Taylor FunkT. Funk,2:09,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-5
Jules BernardJ. Bernard,3:01,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
TOTALS,,9,18,50.0,5,9,55.6,5,8,62.5,2,5,7,7,3,1,4,9,28,5
