PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jarrett CulverJ. CulverF,5:55,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,1,0,2,7
Tristan Da SilvaT. Da SilvaF,8:07,1,2,50.0,1,1,100,2,2,100,1,2,3,1,0,0,0,0,5,10
Jay HuffJ. HuffC,7:48,1,2,50.0,0,1,0.0,2,2,100,0,2,2,0,0,0,0,0,4,3
Jett HowardJ. HowardG,8:07,3,6,50.0,2,4,50.0,0,0,0.0,1,0,1,1,1,0,0,1,8,10
Anthony BlackA. BlackG,8:07,2,4,50.0,1,1,100,2,2,100,0,1,1,1,2,0,1,1,7,10
Xavier MoonX. Moon,1:53,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-4
Charles BediakoC. Bediako,2:12,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,3
Charlie Brown Jr.C. Brown Jr.,4:05,0,2,0.0,0,0,0.0,0,0,0.0,2,1,3,1,0,0,1,1,0,-1
Kaiser GatesK. Gates,1:53,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
Jared RhodenJ. Rhoden,1:53,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
TOTALS,,8,25,32.0,4,11,36.4,6,6,100,6,9,15,6,4,0,3,3,26,6
