PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Johnny FurphyJ. FurphyF,6:30,0,5,0.0,0,3,0.0,0,0,0.0,0,3,3,0,0,0,0,1,0,4
Jarace WalkerJ. WalkerF,8:22,2,4,50.0,0,1,0.0,3,4,75.0,1,1,2,0,0,0,3,1,7,4
Oscar TshiebweO. TshiebweC,3:45,0,2,0.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,0,0,0,1
Ben SheppardB. SheppardG,8:42,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,4
Quenton JacksonQ. JacksonG,7:00,2,4,50.0,0,1,0.0,1,1,100,0,2,2,0,2,0,0,1,5,4
Kendall BrownK. Brown,3:30,1,1,100,0,0,0.0,0,2,0.0,0,1,1,0,0,0,1,0,2,0
Enrique FreemanE. Freeman,6:14,2,2,100,0,0,0.0,0,1,0.0,1,1,2,0,0,1,0,0,4,1
Tristen NewtonT. Newton,1:52,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,1,0,0
Dakota MathiasD. Mathias,4:06,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,2
TOTALS,,8,21,38.1,0,6,0.0,4,8,50.0,5,11,16,3,2,1,5,5,20,4
