PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jaylon TysonJ. TysonF,4:45,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-1
Emoni BatesE. BatesF,8:50,4,6,66.7,1,3,33.3,2,2,100,0,1,1,0,0,0,1,0,11,-11
Pete NanceP. NanceC,6:23,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,1,1,2,0,-9
Zhaire SmithZ. SmithG,4:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1
Craig Porter Jr.C. Porter Jr.G,8:50,0,2,0.0,0,1,0.0,3,4,75.0,0,1,1,1,1,1,0,0,3,-11
Nae'Qwan TomlinN. Tomlin,5:15,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8
Dexter DennisD. Dennis,5:15,1,1,100,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,2,-8
DJ BurnsD. Burns,3:37,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,1,0,0
Hunter CattoorH. Cattoor,1:10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
Darius BrownD. Brown,1:10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,2
TOTALS,,5,13,38.5,1,6,16.7,5,6,83.3,0,7,7,2,2,2,6,6,16,-9
