PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Cam WhitmoreC. WhitmoreF,7:22,2,4,50.0,0,0,0.0,1,2,50.0,0,2,2,2,2,0,0,0,5,7
AJ GriffinA. GriffinF,6:57,0,3,0.0,0,1,0.0,2,2,100,0,1,1,0,1,0,0,1,2,7
N'Faly DanteN. DanteC,2:57,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2
Nate WilliamsN. WilliamsG,4:27,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,4
Reed SheppardR. SheppardG,9:52,5,7,71.4,2,4,50.0,0,1,0.0,0,3,3,1,1,0,1,0,12,10
Nate HintonN. Hinton,3:02,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,4
Orlando RobinsonO. Robinson,6:55,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,8
Jermaine Samuels Jr.J. Samuels Jr.,5:41,0,0,0.0,0,0,0.0,3,4,75.0,0,1,1,1,0,0,0,2,3,6
Kira Lewis Jr.K. Lewis Jr.,2:47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
TOTALS,,9,19,47.4,2,5,40.0,6,9,66.7,1,10,11,4,4,0,1,4,26,10
