PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Justin ChampagnieJ. ChampagnieF,6:03,1,1,100,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-6
Eugene OmoruyiE. OmoruyiF,8:11,0,2,0.0,0,1,0.0,2,4,50.0,0,2,2,1,0,0,2,0,2,-6
Alexandre SarrA. SarrC,5:32,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-6
Johnny DavisJ. DavisG,6:03,0,2,0.0,0,1,0.0,0,1,0.0,0,2,2,1,0,0,1,0,0,-6
Carlton CarringtonC. CarringtonG,4:56,1,2,50.0,1,1,100,2,2,100,0,1,1,0,0,0,1,0,5,-5
John Butler Jr.J. Butler Jr.,5:44,1,3,33.3,1,1,100,0,0,0.0,1,1,2,0,0,0,0,1,3,-6
Kyshawn GeorgeK. George,5:39,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,2,0,0,-4
Taylor FunkT. Funk,3:57,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-3
Jules BernardJ. Bernard,3:57,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-3
TOTALS,,4,15,26.7,2,7,28.6,4,7,57.1,2,9,11,3,1,0,6,3,14,-9
