PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Keion Brooks Jr.K. Brooks Jr.F,4:31,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-3
Jordan HallJ. HallF,6:55,0,4,0.0,0,2,0.0,0,0,0.0,1,1,2,0,1,0,0,0,0,-8
Yves MissiY. MissiC,3:56,0,0,0.0,0,0,0.0,2,2,100,0,1,1,2,0,0,0,2,2,-3
Izaiah BrockingtonI. BrockingtonG,4:06,0,1,0.0,0,0,0.0,1,2,50.0,1,1,2,0,0,0,0,0,1,-3
Jordan HawkinsJ. HawkinsG,7:01,3,6,50.0,2,4,50.0,0,0,0.0,0,2,2,1,0,0,1,0,8,4
Jordan FordJ. Ford,6:04,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,2
Karlo MatkovicK. Matkovic,6:04,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,1,2,2,2
Antonio ReevesA. Reeves,5:54,1,3,33.3,1,2,50.0,0,0,0.0,1,0,1,1,0,0,1,1,3,2
Joey HauserJ. Hauser,5:29,2,4,50.0,1,3,33.3,0,0,0.0,1,0,1,0,1,0,0,0,5,2
TOTALS,,8,24,33.3,4,13,30.8,3,4,75.0,4,7,11,7,3,0,3,5,23,-1
