PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Colby JonesC. JonesF,8:13,0,2,0.0,0,1,0.0,0,2,0.0,1,0,1,0,0,0,1,2,0,-6
Isaac JonesI. JonesF,7:05,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-6
Drew TimmeD. TimmeC,5:31,1,1,100,0,0,0.0,0,0,0.0,1,1,2,0,1,0,3,0,2,-8
Keon EllisK. EllisG,6:51,1,2,50.0,1,2,50.0,0,0,0.0,0,3,3,1,0,0,0,0,3,-12
Mason JonesM. JonesG,7:14,2,2,100,1,1,100,2,2,100,0,3,3,0,0,0,2,2,7,-4
Boogie EllisB. Ellis,4:33,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,2,1,2,-8
Xavier SneedX. Sneed,4:44,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,2,1,0,-1
Isaiah CrawfordI. Crawford,2:47,1,1,100,0,0,0.0,1,1,100,0,0,0,0,0,0,2,1,3,3
TOTALS,,6,12,50.0,2,7,28.6,3,5,60.0,2,7,9,2,2,2,12,7,17,-8.4
