PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
GG Jackson IIG. Jackson IIF,6:16,2,4,50.0,1,1,100,4,5,80.0,2,0,2,0,0,0,0,1,9,5
Jake LaRaviaJ. LaRaviaF,7:53,1,3,33.3,0,1,0.0,5,5,100,1,1,2,0,1,0,0,1,7,1
Trey JemisonT. JemisonC,8:03,0,1,0.0,0,0,0.0,2,2,100,1,0,1,0,0,0,1,3,2,0
Cam SpencerC. SpencerG,7:46,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,5
Scotty Pippen Jr.S. Pippen Jr.G,5:59,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,2,1,0,4
Jaylen WellsJ. Wells,5:53,0,3,0.0,0,2,0.0,2,2,100,0,0,0,0,0,0,0,0,2,0
DeJon JarreauD. Jarreau,4:01,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,2,-2
Isaiah MillerI. Miller,4:09,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,0,1,0,1,2,2,-3
TOTALS,,5,18,27.8,1,6,16.7,13,14,92.9,4,5,9,0,3,1,4,10,24,2
