PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Hunter TysonH. TysonF,5:35,1,2,50.0,1,1,100,2,2,100,0,0,0,0,0,0,0,0,5,-8
PJ HallP. HallF,8:27,2,5,40.0,1,3,33.3,1,2,50.0,3,0,3,1,0,1,1,2,6,0
DaRon Holmes IID. Holmes IIC,5:35,1,2,50.0,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,3,-8
Julian StrawtherJ. StrawtherG,8:27,0,4,0.0,0,1,0.0,1,2,50.0,0,2,2,0,1,0,1,0,1,0
Jalen PickettJ. PickettG,5:35,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,-8
Gabe McGlothanG. McGlothan,4:25,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,6
Trey AlexanderT. Alexander,5:58,3,4,75.0,1,1,100,0,0,0.0,0,2,2,1,0,0,0,1,7,4
Au'Diese ToneyA. Toney,1:33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Jahmir YoungJ. Young,4:25,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,0,6
TOTALS,,7,19,36.8,4,7,57.1,4,6,66.7,4,7,11,5,1,2,2,3,22,-2
