PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Hunter TysonH. TysonF,6:41,2,5,40.0,0,2,0.0,1,1,100,0,0,0,1,0,0,0,0,5,-11
PJ HallP. HallF,10:00,2,2,100,0,0,0.0,0,0,0.0,1,0,1,0,1,0,1,2,4,-7
DaRon Holmes IID. Holmes IIC,5:56,1,1,100,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,3,3
Julian StrawtherJ. StrawtherG,8:01,1,5,20.0,0,3,0.0,5,6,83.3,0,2,2,0,0,0,0,0,7,-4
Jalen PickettJ. PickettG,5:22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-11
Trey AlexanderT. Alexander,10:00,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,2,1,0,1,1,2,-7
Au'Diese ToneyA. Toney,0:41,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Jahmir YoungJ. Young,3:19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,4
TOTALS,,7,15,46.7,1,7,14.3,6,7,85.7,1,4,5,4,3,0,2,5,21,-7
