PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Terrence Shannon Jr.T. Shannon Jr.F,7:38,2,3,66.7,0,1,0.0,1,1,100,0,0,0,0,0,1,1,0,5,-1
Josh MinottJ. MinottF,8:05,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,0,0,1
Leonard MillerL. MillerC,1:34,1,1,100,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,3,-3
Daishen NixD. NixG,7:51,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,1,2,-1
Rob DillinghamR. DillinghamG,5:29,1,5,20.0,0,2,0.0,0,0,0.0,0,1,1,1,1,1,0,1,2,-3
Jaylen ClarkJ. Clark,4:17,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,1,0,0,0,0,2
Jesse EdwardsJ. Edwards,6:17,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,1,0,0,0,2
Nadir HifiN. Hifi,4:31,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,2,1,0,0,0,2,4
Jaedon LeDeeJ. LeDee,2:09,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,2
Joe WieskampJ. Wieskamp,2:09,1,2,50.0,1,2,50.0,0,0,0.0,1,1,2,0,0,0,0,0,3,2
TOTALS,,7,22,31.8,2,10,20.0,1,3,33.3,2,11,13,4,4,3,3,3,17,1
