PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jordan MillerJ. MillerF,8:06,4,6,66.7,1,2,50.0,2,2,100,1,0,1,0,0,0,0,1,11,1
Kobe BrownK. BrownF,6:06,0,2,0.0,0,1,0.0,2,2,100,0,0,0,0,0,0,0,3,2,-4
Moussa DiabateM. DiabateC,8:06,1,2,50.0,0,0,0.0,2,2,100,1,3,4,1,0,0,0,1,4,1
Cam ChristieC. ChristieG,8:06,1,5,20.0,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,0,2,1
Trevor HudginsT. HudginsG,5:25,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-6
RayJ DennisR. Dennis,4:35,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,6
Terry TaylorT. Taylor,3:54,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4
Elijah HarklessE. Harkless,1:54,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Josh BannanJ. Bannan,1:54,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1
Amari BaileyA. Bailey,1:54,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
TOTALS,,6,19,31.6,1,8,12.5,6,6,100,2,6,8,3,1,0,0,6,19,0
