PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jordan MillerJ. MillerF,8:28,2,4,50.0,2,3,66.7,0,0,0.0,1,0,1,1,0,0,4,2,6,7
Kobe BrownK. BrownF,8:01,3,7,42.9,0,2,0.0,0,0,0.0,2,1,3,2,0,0,0,0,6,11
Moussa DiabateM. DiabateC,8:02,1,1,100,0,0,0.0,3,3,100,1,1,2,0,0,0,0,0,5,9
Cam ChristieC. ChristieG,6:55,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,3,7
Trevor HudginsT. HudginsG,4:38,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-4
RayJ DennisR. Dennis,5:22,0,2,0.0,0,0,0.0,2,3,66.7,2,1,3,1,1,1,0,1,2,11
Elijah HarklessE. Harkless,4:38,1,1,100,1,1,100,0,0,0.0,0,1,1,0,0,0,0,1,3,-2
Josh BannanJ. Bannan,1:58,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-2
Amari BaileyA. Bailey,1:58,1,2,50.0,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,3,-2
TOTALS,,9,21,42.9,5,10,50.0,5,6,83.3,6,5,11,6,1,1,4,7,28,7
