PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Keion Brooks Jr.K. Brooks Jr.F,8:00,0,4,0.0,0,2,0.0,0,0,0.0,2,0,2,1,0,0,0,1,0,3
Jordan HallJ. HallF,4:56,1,2,50.0,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,0,2,5
Yves MissiY. MissiC,4:40,1,3,33.3,0,0,0.0,0,0,0.0,2,2,4,0,0,1,0,0,2,-9
Izaiah BrockingtonI. BrockingtonG,8:01,0,2,0.0,0,2,0.0,2,2,100,0,1,1,1,0,0,0,0,2,5
Jordan HawkinsJ. HawkinsG,6:56,0,4,0.0,0,2,0.0,3,3,100,1,1,2,1,0,0,0,1,3,3
Jordan FordJ. Ford,3:28,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-7
Karlo MatkovicK. Matkovic,6:58,2,2,100,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,1,4,-4
Antonio ReevesA. Reeves,1:59,0,1,0.0,0,0,0.0,2,2,100,0,0,0,0,0,0,1,0,2,-9
Joey HauserJ. Hauser,5:02,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-7
TOTALS,,5,20,25.0,0,7,0.0,7,7,100,7,9,16,3,1,1,3,4,17,-4
