PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dylan WindlerD. WindlerF,7:42,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,0,3,12
Mouhamed GueyeM. GueyeF,5:48,1,3,33.3,0,2,0.0,2,2,100,1,1,2,0,1,0,0,2,4,6
Rob Baker IIR. Baker IIC,4:33,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,7
Zaccharie RisacherZ. RisacherG,6:51,2,5,40.0,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,1,5,4
Nikola DjurisicN. DjurisicG,6:15,1,1,100,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,6
Keaton WallaceK. Wallace,5:27,2,4,50.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,1,5,2
Miles NorrisM. Norris,5:27,1,2,50.0,0,0,0.0,2,2,100,1,0,1,0,1,2,1,0,4,2
E.J. LiddellE. Liddell,4:12,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,1,2,0,3
Jarkel JoinerJ. Joiner,3:45,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,0,0,3
TOTALS,,8,21,38.1,3,12,25.0,4,4,100,2,9,11,3,3,2,2,8,23,9
