PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Cam WhitmoreC. WhitmoreF,9:31,2,7,28.6,0,3,0.0,0,0,0.0,1,2,3,0,1,0,1,2,4,11
AJ GriffinA. GriffinF,6:30,1,2,50.0,0,1,0.0,2,2,100,0,0,0,0,0,1,0,0,4,14
N'Faly DanteN. DanteC,3:11,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,4
Nate WilliamsN. WilliamsG,6:49,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,0,0,1,0,0,5,5
Reed SheppardR. SheppardG,9:21,1,5,20.0,1,1,100,1,1,100,1,0,1,1,0,2,2,1,4,5
Nate HintonN. Hinton,4:16,0,0,0.0,0,0,0.0,1,2,50.0,1,1,2,0,0,0,0,1,1,-2
Orlando RobinsonO. Robinson,2:20,1,1,100,0,0,0.0,3,4,75.0,2,0,2,0,0,0,0,0,5,5
Jermaine Samuels Jr.J. Samuels Jr.,4:51,1,1,100,0,0,0.0,1,2,50.0,1,0,1,0,0,0,0,0,3,-1
Kira Lewis Jr.K. Lewis Jr.,3:11,1,1,100,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,1,2,4
TOTALS,,9,20,45.0,2,7,28.6,8,11,72.7,7,6,13,2,1,4,4,5,28,9
