PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dalton KnechtD. KnechtF,10:00,1,4,25.0,1,3,33.3,2,3,66.7,1,3,4,4,1,1,0,1,5,0
Maxwell LewisM. LewisF,5:47,1,2,50.0,0,0,0.0,0,1,0.0,1,0,1,2,1,0,0,0,2,0
Colin CastletonC. CastletonC,7:10,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,2,-2
Bronny JamesB. JamesG,5:47,2,5,40.0,0,2,0.0,2,2,100,0,2,2,0,0,0,1,0,6,0
Tommy KuhseT. KuhseG,7:10,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,5,-2
Trent ForrestT. Forrest,4:13,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Blake HinsonB. Hinson,4:13,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
Armel TraoreA. Traore,2:50,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2
Moses BrownM. Brown,2:50,2,2,100,0,0,0.0,0,1,0.0,0,1,1,0,0,0,0,0,4,2
TOTALS,,10,22,45.5,2,9,22.2,4,7,57.1,2,7,9,7,2,1,1,4,26,0
