PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Hunter TysonH. TysonF,7:29,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0,0,0,0,1,2,3,-3
PJ HallP. HallF,5:33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,1
DaRon Holmes IID. Holmes IIC,6:06,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,1
Julian StrawtherJ. StrawtherG,8:37,3,4,75.0,2,2,100,0,0,0.0,0,1,1,1,0,0,2,0,8,3
Jalen PickettJ. PickettG,8:50,1,3,33.3,1,3,33.3,0,0,0.0,0,2,2,1,0,0,0,0,3,1
Gabe McGlothanG. McGlothan,4:27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,1,0,-2
Trey AlexanderT. Alexander,3:54,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2
Au'Diese ToneyA. Toney,3:54,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-2
Jahmir YoungJ. Young,1:10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
TOTALS,,6,14,42.9,4,9,44.4,0,0,0.0,0,4,4,4,2,0,7,4,16,-1
