PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Keion Brooks Jr.K. Brooks Jr.F,3:22,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-4
Jordan HallJ. HallF,9:40,2,2,100,2,2,100,0,0,0.0,0,2,2,0,0,2,0,3,6,-1
Yves MissiY. MissiC,6:32,0,0,0.0,0,0,0.0,2,2,100,1,1,2,0,0,0,1,1,2,4
Izaiah BrockingtonI. BrockingtonG,6:38,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,3
Jordan HawkinsJ. HawkinsG,6:37,1,5,20.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,2,1,2,-4
Jordan FordJ. Ford,9:16,1,6,16.7,0,4,0.0,0,0,0.0,1,1,2,2,1,0,0,0,2,-1
Karlo MatkovicK. Matkovic,3:08,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,0,0,2,1,1,2,-5
Antonio ReevesA. Reeves,4:27,0,0,0.0,0,0,0.0,2,2,100,0,0,0,0,0,0,2,1,2,3
Joey HauserJ. Hauser,0:20,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
TOTALS,,6,17,35.3,2,9,22.2,4,4,100,3,9,12,3,1,5,6,8,18,-1
