PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jaylon TysonJ. TysonF,7:43,3,5,60.0,1,1,100,0,0,0.0,0,3,3,0,0,0,0,1,7,8
Nae'Qwan TomlinN. Tomlin,6:25,1,2,50.0,0,0,0.0,2,2,100,1,4,5,0,0,0,2,0,4,5
Dexter DennisD. Dennis,6:25,1,2,50.0,0,1,0.0,1,2,50.0,1,0,1,0,1,0,0,0,3,5
DJ BurnsD. Burns,5:52,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-7
Hunter CattoorH. Cattoor,5:52,0,3,0.0,0,3,0.0,1,1,100,0,0,0,0,0,0,1,0,1,-7
Darius BrownD. Brown,10:00,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,3,1,0,0,1,5,3
Gabe OsabuohienG. Osabuohien,7:43,0,2,0.0,0,1,0.0,2,2,100,0,0,0,2,1,0,2,1,2,8
TOTALS,,7,18,38.9,2,8,25.0,6,7,85.7,2,9,11,5,3,0,6,3,22,3
