PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Keion Brooks Jr.K. Brooks Jr.F,5:29,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3
Jordan HallJ. HallF,5:29,1,1,100,1,1,100,0,0,0.0,0,2,2,2,1,0,0,1,3,3
Yves MissiY. MissiC,5:29,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,3
Izaiah BrockingtonI. BrockingtonG,3:34,1,2,50.0,1,1,100,0,0,0.0,0,0,0,0,1,0,1,0,3,3
Jordan HawkinsJ. HawkinsG,8:33,2,6,33.3,0,0,0.0,1,1,100,1,0,1,0,0,0,1,0,5,-1
Jordan FordJ. Ford,5:58,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,0,3,-4
Karlo MatkovicK. Matkovic,4:31,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,-4
Antonio ReevesA. Reeves,6:26,1,6,16.7,0,2,0.0,0,0,0.0,1,1,2,1,0,0,0,0,2,-4
Joey HauserJ. Hauser,4:31,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,-4
TOTALS,,6,20,30.0,3,7,42.9,1,1,100,3,6,9,3,3,1,4,2,16,-1
