PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Colby JonesC. JonesF,2:27,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-8
Isaac JonesI. JonesF,4:14,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-7
Drew TimmeD. TimmeC,1:57,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-6
Keon EllisK. EllisG,9:10,1,5,20.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-9
Mason JonesM. JonesG,7:19,1,1,100,1,1,100,0,0,0.0,0,4,4,1,0,0,0,1,3,-5
Boogie EllisB. Ellis,3:43,1,2,50.0,1,2,50.0,0,0,0.0,1,0,1,1,0,0,0,0,3,-1
Xavier SneedX. Sneed,5:10,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,0,1,0,1,1,1,-6
Isaiah CrawfordI. Crawford,2:41,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6
Adonis ArmsA. Arms,7:33,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-3
TOTALS,,4,16,25.0,2,8,25.0,1,2,50.0,1,6,7,3,1,0,4,6,11,-10.2
