PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dylan WindlerD. WindlerF,6:34,1,2,50.0,1,2,50.0,0,0,0.0,0,3,3,0,1,0,0,0,3,-7
Mouhamed GueyeM. GueyeF,6:30,1,4,25.0,0,1,0.0,3,4,75.0,1,0,1,1,1,1,1,0,5,-7
Rob Baker IIR. Baker IIC,5:00,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,0,0,1,0,0,1,-5
Zaccharie RisacherZ. RisacherG,7:45,3,6,50.0,1,3,33.3,0,0,0.0,0,2,2,0,0,0,1,0,7,0
Nikola DjurisicN. DjurisicG,6:30,0,1,0.0,0,0,0.0,1,4,25.0,0,0,0,0,1,1,0,1,1,-7
Keaton WallaceK. Wallace,5:45,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,1,1,0,1
Miles NorrisM. Norris,5:00,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,2,2
E.J. LiddellE. Liddell,3:30,1,1,100,0,0,0.0,1,1,100,1,0,1,1,0,0,0,0,3,4
Jarkel JoinerJ. Joiner,3:26,0,1,0.0,0,0,0.0,1,2,50.0,0,1,1,0,0,0,0,1,1,4
TOTALS,,7,19,36.8,2,8,25.0,7,13,53.8,2,9,11,3,4,4,3,3,23,-3
