PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dariq WhiteheadD. WhiteheadF,6:58,1,3,33.3,0,1,0.0,2,2,100,0,0,0,1,2,0,0,0,4,3
Jalen WilsonJ. WilsonF,6:48,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,3,5,1
Noah ClowneyN. ClowneyC,4:58,1,1,100,0,0,0.0,1,2,50.0,0,0,0,0,0,0,1,1,3,-3
Keon JohnsonK. JohnsonG,6:48,1,2,50.0,0,0,0.0,2,2,100,1,1,2,1,1,0,0,0,4,1
Jacob GilyardJ. GilyardG,10:00,1,2,50.0,1,2,50.0,1,1,100,0,1,1,2,1,0,2,0,4,7
Jaylen MartinJ. Martin,6:14,3,7,42.9,0,2,0.0,1,1,100,2,0,2,0,1,0,1,1,7,10
Tyrese MartinT. Martin,3:12,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,6
Zylan CheathamZ. Cheatham,5:02,0,0,0.0,0,0,0.0,0,2,0.0,0,2,2,0,1,0,1,2,0,10
TOTALS,,9,19,47.4,2,7,28.6,7,10,70.0,3,5,8,4,6,0,6,7,27,7
