PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dariq WhiteheadD. WhiteheadF,6:57,0,2,0.0,0,1,0.0,0,0,0.0,1,2,3,0,1,0,2,0,0,0
Jalen WilsonJ. WilsonF,6:17,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-4
Noah ClowneyN. ClowneyC,6:17,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,1,1,2,2,3,1,-4
Keon JohnsonK. JohnsonG,6:58,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,0,1,1,1,2,4,-3
Jacob GilyardJ. GilyardG,6:58,1,1,100,1,1,100,0,0,0.0,0,0,0,0,2,0,0,0,3,-3
Jaylen MartinJ. Martin,6:05,0,2,0.0,0,0,0.0,2,2,100,1,0,1,0,1,0,1,2,2,-5
Tyrese MartinT. Martin,3:43,2,4,50.0,1,2,50.0,0,0,0.0,1,0,1,0,0,0,0,0,5,0
Zylan CheathamZ. Cheatham,3:43,0,1,0.0,0,1,0.0,2,4,50.0,0,0,0,0,1,1,1,0,2,0
Mark ArmstrongM. Armstrong,3:02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1
TOTALS,,5,17,29.4,2,8,25.0,5,8,62.5,3,4,7,2,7,4,8,7,17,-4
