PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Cam WhitmoreC. WhitmoreF,4:49,2,2,100,1,1,100,0,0,0.0,0,4,4,1,1,0,1,0,5,6
AJ GriffinA. GriffinF,7:41,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,1,2,2,0,4
N'Faly DanteN. DanteC,5:11,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,0,1,1,0,1,2,-6
Nate WilliamsN. WilliamsG,6:37,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,4,0
Reed SheppardR. SheppardG,4:49,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,1,0,1,1,0,4,6
Nate HintonN. Hinton,2:52,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Jermaine Samuels Jr.J. Samuels Jr.,4:49,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,6
Kira Lewis Jr.K. Lewis Jr.,2:52,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Shahada WellsS. Wells,3:23,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,0,2,0
Trevor KeelsT. Keels,2:19,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-4
Mike MilesM. Miles,2:19,1,3,33.3,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,2,-4
Fabian White Jr.F. White Jr.,2:19,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-4
TOTALS,,9,19,47.4,1,6,16.7,0,1,0.0,4,5,9,4,4,4,4,4,19,0
