PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dalton KnechtD. KnechtF,5:02,2,3,66.7,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,5,-1
Maxwell LewisM. LewisF,10:00,1,4,25.0,0,1,0.0,2,2,100,1,0,1,1,0,0,1,2,4,-9
Colin CastletonC. CastletonC,6:16,1,2,50.0,0,0,0.0,0,0,0.0,2,2,4,1,0,1,1,2,2,-5
Bronny JamesB. JamesG,6:16,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-5
Tommy KuhseT. KuhseG,5:41,1,5,20.0,1,1,100,0,0,0.0,0,1,1,0,1,0,0,0,3,-3
Trent ForrestT. Forrest,4:19,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-6
Blake HinsonB. Hinson,4:58,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-8
Armel TraoreA. Traore,3:44,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,0,0,-4
Moses BrownM. Brown,3:44,1,2,50.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,0,0,3,-4
TOTALS,,7,20,35.0,2,6,33.3,3,4,75.0,4,7,11,2,1,1,4,7,19,-9
