PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dariq WhiteheadD. WhiteheadF,4:55,0,2,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,1,1,2
Jalen WilsonJ. WilsonF,7:57,4,5,80.0,4,4,100,0,0,0.0,0,1,1,1,0,0,0,2,12,7
Noah ClowneyN. ClowneyC,5:40,3,3,100,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,1,6,0
Keon JohnsonK. JohnsonG,6:26,1,1,100,0,0,0.0,0,0,0.0,0,0,0,3,0,1,0,1,2,10
Jacob GilyardJ. GilyardG,7:43,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,3,0,1,0,1,0,-6
Jaylen MartinJ. Martin,7:08,1,2,50.0,0,1,0.0,1,1,100,2,2,4,1,0,0,1,0,3,-7
Tyrese MartinT. Martin,5:51,1,5,20.0,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,1,3,-2
Zylan CheathamZ. Cheatham,2:03,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-6
Mark ArmstrongM. Armstrong,2:17,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,7
TOTALS,,11,22,50.0,5,9,55.6,2,3,66.7,3,7,10,10,0,2,2,7,29,1
