PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jordan MillerJ. MillerF,5:35,3,4,75.0,3,4,75.0,4,4,100,0,2,2,0,0,0,0,0,13,8
Kobe BrownK. BrownF,7:04,1,3,33.3,0,2,0.0,1,2,50.0,1,0,1,1,1,1,1,1,3,0
Moussa DiabateM. DiabateC,3:58,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,5
Cam ChristieC. ChristieG,5:25,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,8
Trevor HudginsT. HudginsG,4:25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
RayJ DennisR. Dennis,5:35,1,1,100,1,1,100,0,0,0.0,0,1,1,4,0,0,0,1,3,8
Terry TaylorT. Taylor,4:33,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,5
Elijah HarklessE. Harkless,4:35,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,3,-6
Josh BannanJ. Bannan,4:25,0,5,0.0,0,3,0.0,0,0,0.0,2,1,3,0,1,0,0,0,0,-6
Amari BaileyA. Bailey,4:25,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-6
TOTALS,,7,20,35.0,5,13,38.5,5,6,83.3,3,8,11,5,2,1,1,4,24,2
