PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Colby JonesC. JonesF,3:15,0,1,0.0,0,1,0.0,2,2,100,0,1,1,0,0,0,1,1,2,-6
Isaac JonesI. JonesF,5:24,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Drew TimmeD. TimmeC,5:45,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,2,0,0,1,1,2,-2
Keon EllisK. EllisG,7:25,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,2,0,1,3,2,2,-4
Mason JonesM. JonesG,5:24,1,2,50.0,0,0,0.0,2,2,100,0,3,3,0,0,0,0,0,4,-3
Boogie EllisB. Ellis,2:59,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,1,4,3,3
Xavier SneedX. Sneed,4:12,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Isaiah CrawfordI. Crawford,4:10,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,2,3,2
Adonis ArmsA. Arms,2:35,0,0,0.0,0,0,0.0,1,2,50.0,1,0,1,0,0,0,1,0,1,2
Antoine DavisA. Davis,4:36,2,2,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,5,1
TOTALS,,7,14,50.0,3,8,37.5,5,6,83.3,1,5,6,4,0,1,7,10,22,-2
