PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dylan WindlerD. WindlerF,6:29,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,0,0,0,1,0,3,-1
Mouhamed GueyeM. GueyeF,7:13,1,5,20.0,0,1,0.0,2,3,66.7,0,1,1,0,0,0,0,3,4,-8
Rob Baker IIR. Baker IIC,6:30,2,6,33.3,1,3,33.3,1,2,50.0,1,1,2,0,0,0,0,0,6,-11
Zaccharie RisacherZ. RisacherG,7:13,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,1,0,0,0,-8
Nikola DjurisicN. DjurisicG,6:30,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,2,-11
Keaton WallaceK. Wallace,3:30,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,3,0,0,0,0,0,4
Miles NorrisM. Norris,3:30,1,2,50.0,1,2,50.0,0,0,0.0,1,0,1,0,0,0,0,0,3,4
E.J. LiddellE. Liddell,2:47,0,1,0.0,0,1,0.0,1,2,50.0,0,2,2,0,0,0,0,0,1,1
Jarkel JoinerJ. Joiner,6:18,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-5
TOTALS,,6,21,28.6,3,11,27.3,4,7,57.1,3,9,12,5,0,1,3,3,19,-7
