PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jaylon TysonJ. TysonF,5:32,1,3,33.3,0,0,0.0,0,0,0.0,3,1,4,1,0,0,1,1,2,-17
Emoni BatesE. BatesF,7:50,2,6,33.3,1,3,33.3,2,2,100,0,1,1,0,0,0,0,0,7,-17
Pete NanceP. NanceC,7:01,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0,1,0,0,1,0,3,-22
Zhaire SmithZ. SmithG,5:32,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-17
Craig Porter Jr.C. Porter Jr.G,7:55,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,-17
Nae'Qwan TomlinN. Tomlin,4:28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,2
Dexter DennisD. Dennis,4:28,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2
DJ BurnsD. Burns,2:59,2,2,100,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,4,7
Hunter CattoorH. Cattoor,2:10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,2
Darius BrownD. Brown,2:05,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,1,0,0,0,0,1,2
TOTALS,,8,20,40.0,2,8,25.0,3,4,75.0,4,3,7,4,1,0,4,4,21,-15
