PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Isaac JonesI. JonesF,10:00,3,3,100,0,0,0.0,3,4,75.0,0,1,1,2,0,0,0,1,9,2
Keon EllisK. EllisG,4:23,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,1,2,2,0,1
Mason JonesM. JonesG,5:37,1,1,100,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,2,1
Boogie EllisB. Ellis,10:00,2,5,40.0,2,2,100,0,0,0.0,0,1,1,0,2,0,2,1,6,2
Xavier SneedX. Sneed,10:00,1,2,50.0,0,1,0.0,0,1,0.0,1,0,1,1,0,0,0,1,2,2
Adonis ArmsA. Arms,10:00,3,4,75.0,1,2,50.0,0,0,0.0,0,2,2,2,0,1,2,0,7,2
TOTALS,,10,15,66.7,3,5,60.0,3,5,60.0,2,5,7,9,2,2,7,5,26,2
