PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Cam WhitmoreC. WhitmoreF,5:47,2,4,50.0,0,2,0.0,2,3,66.7,0,1,1,1,0,0,1,1,6,0
AJ GriffinA. GriffinF,4:03,1,1,100,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-1
N'Faly DanteN. DanteC,4:03,0,2,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,1,0,0,0,-1
Nate WilliamsN. WilliamsG,10:00,3,7,42.9,0,2,0.0,0,0,0.0,0,3,3,0,1,0,0,2,6,0
Reed SheppardR. SheppardG,5:47,1,2,50.0,1,1,100,0,0,0.0,0,0,0,2,0,0,0,0,3,0
Nate HintonN. Hinton,5:57,1,1,100,1,1,100,0,0,0.0,0,2,2,0,0,0,0,1,3,1
Orlando RobinsonO. Robinson,5:57,1,2,50.0,0,0,0.0,2,2,100,2,0,2,1,0,0,0,1,4,1
Jermaine Samuels Jr.J. Samuels Jr.,4:13,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,0,0
Kira Lewis Jr.K. Lewis Jr.,4:13,1,4,25.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,0
TOTALS,,10,23,43.5,2,6,33.3,4,5,80.0,5,10,15,5,1,1,3,5,26,0
