PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Justin ChampagnieJ. ChampagnieF,5:37,1,1,100,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,2,2,6
Eugene OmoruyiE. OmoruyiF,6:39,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,2,0,-4
Alexandre SarrA. SarrC,6:30,1,2,50.0,1,2,50.0,2,2,100,0,2,2,1,1,1,1,2,5,7
Johnny DavisJ. DavisG,7:32,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,0,2,-3
Carlton CarringtonC. CarringtonG,6:12,2,4,50.0,2,4,50.0,2,2,100,0,3,3,2,0,1,0,0,8,9
John Butler Jr.J. Butler Jr.,6:16,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,4,0
Kyshawn GeorgeK. George,6:51,1,4,25.0,0,2,0.0,0,0,0.0,1,1,2,2,1,0,1,2,2,3
Jules BernardJ. Bernard,4:23,1,2,50.0,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,3,-3
TOTALS,,9,20,45.0,4,10,40.0,4,4,100,2,11,13,7,3,3,4,10,26,3
