PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dalton KnechtD. KnechtF,5:00,3,5,60.0,3,4,75.0,0,0,0.0,0,0,0,0,0,0,1,0,9,1
Maxwell LewisM. LewisF,2:41,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-1
Colin CastletonC. CastletonC,5:53,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,1,0,1,0,1,2,1
Bronny JamesB. JamesG,10:00,1,7,14.3,0,5,0.0,0,0,0.0,0,1,1,0,2,0,1,0,2,0
Tommy KuhseT. KuhseG,5:00,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,1
Trent ForrestT. Forrest,10:00,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,4,1,0,0,1,0,0
Blake HinsonB. Hinson,5:00,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1
Armel TraoreA. Traore,4:07,2,2,100,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,4,-1
Moses BrownM. Brown,2:19,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,0
TOTALS,,8,22,36.4,3,10,30.0,0,0,0.0,3,5,8,6,4,2,4,3,19,0
