PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Justin ChampagnieJ. ChampagnieF,7:13,5,6,83.3,1,2,50.0,0,0,0.0,1,1,2,1,1,0,1,0,11,8
Eugene OmoruyiE. OmoruyiF,5:23,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,1,2,1,0,0,0,9
Alexandre SarrA. SarrC,10:00,1,4,25.0,0,1,0.0,0,0,0.0,2,0,2,2,0,3,0,0,2,7
Johnny DavisJ. DavisG,7:13,2,4,50.0,0,1,0.0,1,1,100,0,2,2,0,0,0,0,1,5,8
Carlton CarringtonC. CarringtonG,10:00,1,2,50.0,0,1,0.0,0,0,0.0,0,3,3,3,0,0,0,2,2,7
Kyshawn GeorgeK. George,2:47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-1
Taylor FunkT. Funk,4:37,1,4,25.0,1,4,25.0,0,0,0.0,0,2,2,0,0,0,0,0,3,-2
Jules BernardJ. Bernard,2:47,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,1,3,-1
TOTALS,,11,25,44.0,3,11,27.3,1,1,100,4,9,13,8,3,4,1,5,26,7
