PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Johnny FurphyJ. FurphyF,2:55,1,1,100,1,1,100,1,2,50.0,0,0,0,0,0,0,0,0,4,7
Jarace WalkerJ. WalkerF,8:35,2,5,40.0,0,1,0.0,0,0,0.0,0,2,2,3,1,1,0,0,4,-9
Oscar TshiebweO. TshiebweC,10:00,3,3,100,0,0,0.0,0,0,0.0,2,4,6,1,0,0,0,0,6,-1
Ben SheppardB. SheppardG,8:30,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Quenton JacksonQ. JacksonG,10:00,1,3,33.3,0,0,0.0,0,2,0.0,0,1,1,2,0,0,0,1,2,-1
Kendall BrownK. Brown,10:00,4,7,57.1,1,2,50.0,3,3,100,0,0,0,1,0,0,0,1,12,-1
TOTALS,,11,20,55.0,2,5,40.0,4,7,57.1,2,7,9,7,1,1,0,2,28,-1
