PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jaylon TysonJ. TysonF,6:28,3,5,60.0,0,2,0.0,0,0,0.0,0,1,1,1,0,1,2,1,6,-9
Emoni BatesE. BatesF,5:53,1,5,20.0,0,2,0.0,0,0,0.0,1,0,1,1,0,0,1,0,2,-1
Pete NanceP. NanceC,5:53,2,3,66.7,1,1,100,0,0,0.0,1,3,4,0,0,1,0,1,5,-1
Zhaire SmithZ. SmithG,2:59,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,4,0,-8
Craig Porter Jr.C. Porter Jr.G,6:18,2,5,40.0,0,3,0.0,1,2,50.0,0,0,0,1,1,0,1,0,5,-5
Nae'Qwan TomlinN. Tomlin,7:59,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-4
Dexter DennisD. Dennis,3:09,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,0,0,1
Hunter CattoorH. Cattoor,4:07,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-5
Darius BrownD. Brown,3:42,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,1,0,0,0,-1
Gabe OsabuohienG. Osabuohien,3:32,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,3
TOTALS,,9,22,40.9,1,10,10.0,1,2,50.0,2,8,10,5,1,5,5,8,20,-6
