PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Johnny FurphyJ. FurphyF,6:46,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,1,0,3,0
Jarace WalkerJ. WalkerF,7:07,3,5,60.0,0,0,0.0,1,1,100,0,1,1,0,1,0,1,1,7,5
Oscar TshiebweO. TshiebweC,3:55,1,2,50.0,0,0,0.0,0,0,0.0,2,1,3,1,0,0,1,0,2,-1
Ben SheppardB. SheppardG,6:52,1,5,20.0,0,2,0.0,0,0,0.0,0,0,0,0,2,0,0,1,2,6
Quenton JacksonQ. JacksonG,6:52,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,1,1,0,4,1,0,6
Kendall BrownK. Brown,6:07,1,1,100,0,0,0.0,3,4,75.0,0,1,1,0,0,1,0,1,5,3
Enrique FreemanE. Freeman,5:30,1,2,50.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,2,1,2,3
Tristen NewtonT. Newton,3:08,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-2
Dakota MathiasD. Mathias,3:43,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
TOTALS,,8,20,40.0,1,5,20.0,4,5,80.0,4,6,10,4,4,2,10,6,21,4
