PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
GG Jackson IIG. Jackson IIF,10:00,1,5,20.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-2
Jake LaRaviaJ. LaRaviaF,10:00,2,2,100,0,0,0.0,0,0,0.0,1,0,1,1,2,0,2,0,4,-2
Trey JemisonT. JemisonC,7:36,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,3,3,0,-1
Cam SpencerC. SpencerG,10:00,3,4,75.0,2,2,100,0,1,0.0,0,0,0,1,2,0,1,3,8,-2
Scotty Pippen Jr.S. Pippen Jr.G,6:53,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,3,1,0,0,0,4,2
DeJon JarreauD. Jarreau,3:07,1,2,50.0,0,0,0.0,2,2,100,1,1,2,0,0,0,0,0,4,-4
Isaiah MillerI. Miller,2:24,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1
TOTALS,,10,17,58.8,2,4,50.0,2,3,66.7,3,4,7,6,6,0,6,6,24,-2
