PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Terrence Shannon Jr.T. Shannon Jr.F,7:01,2,2,100,1,1,100,3,3,100,0,0,0,0,0,1,0,1,8,-4
Josh MinottJ. MinottF,10:00,1,4,25.0,0,2,0.0,4,4,100,0,2,2,1,0,1,0,1,6,1
Leonard MillerL. MillerC,6:19,0,2,0.0,0,1,0.0,1,2,50.0,0,1,1,0,0,0,0,0,1,-2
Daishen NixD. NixG,7:05,1,1,100,0,0,0.0,0,0,0.0,0,1,1,2,1,1,3,0,2,8
Rob DillinghamR. DillinghamG,6:19,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-2
Jaylen ClarkJ. Clark,5:54,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,-2
Jesse EdwardsJ. Edwards,3:41,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,1,0,0,3
Nadir HifiN. Hifi,3:41,2,2,100,1,1,100,0,0,0.0,0,1,1,1,1,0,0,0,5,3
TOTALS,,7,14,50.0,2,6,33.3,8,9,88.9,0,7,7,6,3,4,4,3,24,1
