PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jarrett CulverJ. CulverF,4:45,1,3,33.3,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,0,2,1
Tristan Da SilvaT. Da SilvaF,6:23,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,9
Jay HuffJ. HuffC,4:45,1,1,100,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,2,2,1
Jett HowardJ. HowardG,6:23,1,2,50.0,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,4,9
Anthony BlackA. BlackG,8:50,2,2,100,0,0,0.0,3,5,60.0,0,1,1,1,2,0,1,0,7,11
Xavier MoonX. Moon,5:15,2,2,100,0,0,0.0,0,0,0.0,0,2,2,1,1,0,2,0,4,8
Charles BediakoC. Bediako,5:15,1,2,50.0,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,3,8
Charlie Brown Jr.C. Brown Jr.,1:10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Kaiser GatesK. Gates,3:37,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,0,3,0
Jared RhodenJ. Rhoden,3:37,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,1,0,0
TOTALS,,9,16,56.3,3,8,37.5,4,7,57.1,1,9,10,4,5,0,4,3,25,9
