PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Terrence Shannon Jr.T. Shannon Jr.F,8:23,3,7,42.9,0,2,0.0,2,2,100,0,2,2,0,0,0,2,1,8,2
Josh MinottJ. MinottF,8:15,1,4,25.0,0,0,0.0,2,2,100,1,2,3,1,0,0,0,0,4,8
Daishen NixD. NixG,7:11,0,2,0.0,0,0,0.0,5,6,83.3,0,1,1,1,1,0,0,1,5,2
Rob DillinghamR. DillinghamG,7:31,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,5
Jaylen ClarkJ. Clark,3:49,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,-5
Jesse EdwardsJ. Edwards,3:22,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-8
Nadir HifiN. Hifi,3:22,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,0,0,-8
Jaedon LeDeeJ. LeDee,6:38,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,0,9
Joe WieskampJ. Wieskamp,1:29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
TOTALS,,5,21,23.8,0,5,0.0,9,10,90.0,2,7,9,4,4,0,3,4,19,1
